state_index,state_key,stage,open_count,bonus_status,upper_total,upper_pace_gap,yahtzee_status,ones,twos,threes,fours,fives,sixes,three_of_a_kind,four_of_a_kind,full_house,small_straight,large_straight,yahtzee,chance
408,1040896,True Endgame,1,Earned,72,9,Live 50,2,8,12,12,20,18,27,0,0,OPEN,40,50,18
409,1040903,Late Game,4,Earned,63,18,Live 50,OPEN,OPEN,OPEN,20,25,18,0,26,0,OPEN,40,50,20
410,1041026,Late Game,3,Earned,64,7,Live 50,4,OPEN,12,8,10,30,24,OPEN,0,OPEN,0,50,26
411,1041223,Midgame,6,Earned,65,20,Live 50,OPEN,OPEN,OPEN,20,15,30,OPEN,0,OPEN,OPEN,40,50,18
412,1041474,Late Game,3,Earned,65,8,Live 50,4,OPEN,6,16,15,24,OPEN,20,25,0,OPEN,50,17
413,1041480,Late Game,3,Earned,77,26,Live 50,5,8,15,OPEN,25,24,OPEN,18,0,0,OPEN,50,12
414,1042053,Late Game,5,Earned,63,12,Live 50,OPEN,4,OPEN,20,15,24,0,OPEN,0,OPEN,OPEN,50,28
415,1044997,Late Game,4,Earned,63,12,Live 50,OPEN,4,OPEN,16,25,18,30,0,0,OPEN,0,50,OPEN
416,1045190,Midgame,6,Earned,65,17,Live 50,1,OPEN,OPEN,20,20,24,OPEN,OPEN,0,OPEN,0,50,OPEN
417,1045955,Midgame,7,Earned,71,17,Live 50,OPEN,OPEN,6,16,25,24,OPEN,OPEN,OPEN,0,OPEN,50,OPEN
418,1045970,Midgame,7,Earned,68,26,Live 50,3,OPEN,15,20,OPEN,30,OPEN,OPEN,OPEN,0,OPEN,50,OPEN
419,1046340,Midgame,6,Earned,70,16,Live 50,4,6,OPEN,16,20,24,OPEN,18,OPEN,OPEN,OPEN,50,OPEN
